dataset,row_type,task,camera,episodes_or_demos,raw_frames,sampled_frames,frame_step,frame_max,fps,frame_len_min,frame_len_max,notes
SO101,task_total,place-the-black-bowl-from-the-left-to-the-top-of-the-stove,ALL,53,45138,1550,30,10000,30.0,,,
SO101,task_camera,place-the-black-bowl-from-the-right-to-the-top-of-the-stove,agent_view,52,21556,745,30,10000,30.0,,,
SO101,task_camera,place-the-black-bowl-from-the-right-to-the-top-of-the-stove,wrist,52,21556,745,30,10000,30.0,,,
SO101,task_total,place-the-black-bowl-from-the-right-to-the-top-of-the-stove,ALL,52,43112,1490,30,10000,30.0,,,
LIBERO,config,ALL,ALL,,,25296,5,300,,,,"cameras=agentview|eye_in_hand; candidate frame indices=0|5|10|...|295"
LIBERO,total,ALL,ALL,500,124500,25296,5,300,,,,"raw/sample totals across both configured cameras"
LIBERO,total,ALL,per_camera,500,62250,12648,5,300,,,,"per single configured camera"
LIBERO,task_camera,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,agentview,50,5068,1033,5,300,,75,168,
LIBERO,task_camera,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,eye_in_hand,50,5068,1033,5,300,,75,168,
LIBERO,task_total,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,ALL,50,10136,2066,5,300,,75,168,
LIBERO,task_camera,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,agentview,50,5882,1198,5,300,,93,164,
LIBERO,task_camera,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,eye_in_hand,50,5882,1198,5,300,,93,164,
LIBERO,task_total,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,ALL,50,11764,2396,5,300,,93,164,
LIBERO,task_camera,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,agentview,50,7479,1518,5,300,,127,190,
LIBERO,task_camera,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,eye_in_hand,50,7479,1518,5,300,,127,190,
LIBERO,task_total,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,ALL,50,14958,3036,5,300,,127,190,
LIBERO,task_camera,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,agentview,50,6312,1281,5,300,,106,159,
LIBERO,task_camera,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,eye_in_hand,50,6312,1281,5,300,,106,159,
LIBERO,task_total,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,ALL,50,12624,2562,5,300,,106,159,
LIBERO,task_camera,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,agentview,50,5963,1211,5,300,,95,173,
LIBERO,task_camera,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,eye_in_hand,50,5963,1211,5,300,,95,173,
LIBERO,task_total,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,ALL,50,11926,2422,5,300,,95,173,
LIBERO,task_camera,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,agentview,50,6707,1359,5,300,,109,189,
LIBERO,task_camera,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,eye_in_hand,50,6707,1359,5,300,,109,189,
LIBERO,task_total,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,ALL,50,13414,2718,5,300,,109,189,
LIBERO,task_camera,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,agentview,50,5052,1031,5,300,,86,171,
LIBERO,task_camera,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,eye_in_hand,50,5052,1031,5,300,,86,171,
LIBERO,task_total,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,ALL,50,10104,2062,5,300,,86,171,
LIBERO,task_camera,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,agentview,50,5796,1182,5,300,,86,154,
LIBERO,task_camera,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,eye_in_hand,50,5796,1182,5,300,,86,154,
LIBERO,task_total,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,ALL,50,11592,2364,5,300,,86,154,
LIBERO,task_camera,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,agentview,50,7111,1440,5,300,,120,197,
LIBERO,task_camera,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,eye_in_hand,50,7111,1440,5,300,,120,197,
LIBERO,task_total,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,ALL,50,14222,2880,5,300,,120,197,
LIBERO,task_camera,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,agentview,50,6880,1395,5,300,,117,193,
LIBERO,task_camera,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,eye_in_hand,50,6880,1395,5,300,,117,193,
LIBERO,task_total,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,ALL,50,13760,2790,5,300,,117,193,
COMPARISON,total,SO101_vs_LIBERO,ALL,,240598,8252,30/5,,,,,SO101 raw/sampled totals
COMPARISON,total,LIBERO_vs_SO101,ALL,,124500,25296,5/30,,,,,LIBERO raw/sampled totals
