task,episode,frame,timestamp,camera,mode,subject,relation,object,edited,original_relation
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,150,5.0,wrist,gt,red_drawer,is_behind,black_stove,no,
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,270,9.0,wrist,gt,black_bowl,is_behind,cookie,no,
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,270,9.0,wrist,gt,cookie,is_in_front_of,black_bowl,no,
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,300,10.0,wrist,gt,black_bowl,is_behind,cookie,no,
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,300,10.0,wrist,gt,cookie,is_in_front_of,black_bowl,no,
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,330,11.0,wrist,gt,black_bowl,is_in_front_of,white_plate,no,
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,330,11.0,wrist,gt,white_plate,is_behind,black_bowl,no,
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,360,12.0,wrist,gt,black_bowl,is_in_front_of,white_plate,no,
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,360,12.0,wrist,gt,white_plate,is_behind,black_bowl,no,
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,390,13.0,wrist,gt,black_bowl,is_left_of,black_stove,no,
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,390,13.0,wrist,gt,black_stove,is_right_of,black_bowl,no,
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,390,13.0,wrist,gt,black_bowl,is_in_front_of,white_plate,no,
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,390,13.0,wrist,gt,white_plate,is_behind,black_bowl,no,
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,390,13.0,wrist,gt,black_stove,is_in_front_of,white_plate,no,
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,390,13.0,wrist,gt,white_plate,is_behind,black_stove,no,
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,420,14.0,wrist,gt,black_bowl,is_left_of,black_stove,no,
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,420,14.0,wrist,gt,black_stove,is_right_of,black_bowl,no,
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,450,15.0,wrist,gt,black_bowl,is_left_of,black_stove,no,
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,450,15.0,wrist,gt,black_stove,is_right_of,black_bowl,no,
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,450,15.0,wrist,gt,black_bowl,is_in_front_of,red_drawer,no,
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,450,15.0,wrist,gt,red_drawer,is_behind,black_bowl,no,
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,450,15.0,wrist,gt,black_stove,is_in_front_of,red_drawer,no,
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,450,15.0,wrist,gt,red_drawer,is_behind,black_stove,no,
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,480,16.0,wrist,gt,black_bowl,is_left_of,black_stove,no,
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,480,16.0,wrist,gt,black_stove,is_right_of,black_bowl,no,
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,480,16.0,wrist,gt,black_bowl,is_in_front_of,red_drawer,no,
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,480,16.0,wrist,gt,red_drawer,is_behind,black_bowl,no,
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,480,16.0,wrist,gt,black_stove,is_in_front_of,red_drawer,no,
move-the-black-bowl-from-the-top-of-the-drawer-to-on-top-of-the-cookie-at-the-ri,episode_0,480,16.0,wrist,gt,red_drawer,is_behind,black_stove,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,0,0.0,wrist,gt,black_stove,is_behind,cookie,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,0,0.0,wrist,gt,cookie,is_in_front_of,black_stove,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,60,2.0,wrist,gt,black_stove,is_behind,cookie,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,60,2.0,wrist,gt,cookie,is_in_front_of,black_stove,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,90,3.0,wrist,gt,black_stove,is_behind,cookie,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,90,3.0,wrist,gt,cookie,is_in_front_of,black_stove,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,90,3.0,wrist,gt,black_stove,is_left_of,red_drawer,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,90,3.0,wrist,gt,red_drawer,is_right_of,black_stove,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,90,3.0,wrist,gt,cookie,is_in_front_of,red_drawer,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,90,3.0,wrist,gt,red_drawer,is_behind,cookie,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,120,4.0,wrist,gt,black_bowl,is_right_of,black_stove,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,120,4.0,wrist,gt,black_stove,is_left_of,black_bowl,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,120,4.0,wrist,gt,black_bowl,is_on_top_of,red_drawer,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,120,4.0,wrist,gt,red_drawer,is_below_of,black_bowl,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,120,4.0,wrist,gt,black_stove,is_left_of,red_drawer,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,120,4.0,wrist,gt,red_drawer,is_right_of,black_stove,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,240,8.0,wrist,gt,black_bowl,is_left_of,red_drawer,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,240,8.0,wrist,gt,red_drawer,is_right_of,black_bowl,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,240,8.0,wrist,gt,black_bowl,is_behind,white_plate,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,240,8.0,wrist,gt,white_plate,is_in_front_of,black_bowl,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,240,8.0,wrist,gt,red_drawer,is_right_of,white_plate,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,240,8.0,wrist,gt,white_plate,is_left_of,red_drawer,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,270,9.0,wrist,gt,black_bowl,is_right_of,black_stove,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,270,9.0,wrist,gt,black_stove,is_left_of,black_bowl,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,270,9.0,wrist,gt,black_bowl,is_left_of,white_plate,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,270,9.0,wrist,gt,white_plate,is_right_of,black_bowl,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,270,9.0,wrist,gt,black_stove,is_left_of,white_plate,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,270,9.0,wrist,gt,white_plate,is_right_of,black_stove,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,360,12.0,wrist,gt,black_stove,is_behind,cookie,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,360,12.0,wrist,gt,cookie,is_in_front_of,black_stove,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,360,12.0,wrist,gt,black_stove,is_left_of,red_drawer,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,360,12.0,wrist,gt,red_drawer,is_right_of,black_stove,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,360,12.0,wrist,gt,cookie,is_in_front_of,red_drawer,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,360,12.0,wrist,gt,red_drawer,is_behind,cookie,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,390,13.0,wrist,gt,cookie,is_in_front_of,red_drawer,no,
place-the-black-bowl-from-on-top-of-the-drawer-to-the-stove,episode_0,390,13.0,wrist,gt,red_drawer,is_behind,cookie,no,
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,120,4.0,wrist,gt,black_stove,is_in_front_of,cookie,no,
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,120,4.0,wrist,gt,cookie,is_behind,black_stove,no,
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,120,4.0,wrist,gt,black_stove,is_in_front_of,red_drawer,no,
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,120,4.0,wrist,gt,red_drawer,is_behind,black_stove,no,
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,120,4.0,wrist,gt,cookie,is_in_front_of,red_drawer,no,
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,120,4.0,wrist,gt,red_drawer,is_behind,cookie,no,
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,180,6.0,wrist,gt,black_bowl,is_left_of,red_drawer,no,
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,180,6.0,wrist,gt,red_drawer,is_right_of,black_bowl,no,
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,210,7.0,wrist,gt,black_bowl,is_left_of,red_drawer,no,
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,210,7.0,wrist,gt,red_drawer,is_right_of,black_bowl,no,
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,360,12.0,wrist,gt,black_bowl,is_in_front_of,cookie,no,
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,360,12.0,wrist,gt,cookie,is_behind,black_bowl,no,
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,360,12.0,wrist,gt,black_bowl,is_left_of,white_plate,no,
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,360,12.0,wrist,gt,white_plate,is_right_of,black_bowl,no,
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,360,12.0,wrist,gt,cookie,is_left_of,white_plate,no,
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,360,12.0,wrist,gt,white_plate,is_right_of,cookie,no,
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,390,13.0,wrist,gt,black_bowl,is_in_front_of,cookie,no,
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,390,13.0,wrist,gt,cookie,is_behind,black_bowl,no,
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,420,14.0,wrist,gt,black_bowl,is_in_front_of,cookie,no,
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,420,14.0,wrist,gt,cookie,is_behind,black_bowl,no,
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,450,15.0,wrist,gt,black_bowl,is_in_front_of,cookie,no,
place-the-black-bowl-from-the-left-to-the-top-of-the-stove,episode_0,450,15.0,wrist,gt,cookie,is_behind,black_bowl,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,0,0.0,wrist,gt,black_bowl,is_in_front_of,black_stove,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,0,0.0,wrist,gt,black_stove,is_behind,black_bowl,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,0,0.0,wrist,gt,black_bowl,is_in_front_of,red_drawer,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,0,0.0,wrist,gt,red_drawer,is_behind,black_bowl,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,0,0.0,wrist,gt,black_stove,is_left_of,red_drawer,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,0,0.0,wrist,gt,red_drawer,is_right_of,black_stove,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,30,1.0,wrist,gt,black_bowl,is_in_front_of,black_stove,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,30,1.0,wrist,gt,black_stove,is_behind,black_bowl,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,30,1.0,wrist,gt,black_bowl,is_in_front_of,red_drawer,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,30,1.0,wrist,gt,red_drawer,is_behind,black_bowl,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,30,1.0,wrist,gt,black_stove,is_left_of,red_drawer,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,30,1.0,wrist,gt,red_drawer,is_right_of,black_stove,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,60,2.0,wrist,gt,black_bowl,is_in_front_of,black_stove,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,60,2.0,wrist,gt,black_stove,is_behind,black_bowl,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,60,2.0,wrist,gt,black_bowl,is_in_front_of,red_drawer,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,60,2.0,wrist,gt,red_drawer,is_behind,black_bowl,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,60,2.0,wrist,gt,black_stove,is_left_of,red_drawer,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,60,2.0,wrist,gt,red_drawer,is_right_of,black_stove,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,90,3.0,wrist,gt,black_bowl,is_in_front_of,black_stove,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,90,3.0,wrist,gt,black_stove,is_behind,black_bowl,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,90,3.0,wrist,gt,black_bowl,is_in_front_of,red_drawer,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,90,3.0,wrist,gt,red_drawer,is_behind,black_bowl,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,90,3.0,wrist,gt,black_stove,is_left_of,red_drawer,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,90,3.0,wrist,gt,red_drawer,is_right_of,black_stove,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,180,6.0,wrist,gt,black_bowl,is_in_front_of,red_drawer,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,180,6.0,wrist,gt,red_drawer,is_behind,black_bowl,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,270,9.0,wrist,gt,black_bowl,is_left_of,red_drawer,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,270,9.0,wrist,gt,red_drawer,is_right_of,black_bowl,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,360,12.0,wrist,gt,black_bowl,is_left_of,red_drawer,no,
place-the-black-bowl-from-the-right-to-the-top-of-the-stove,episode_0,360,12.0,wrist,gt,red_drawer,is_right_of,black_bowl,no,
