[2026-07-24 03:14:26] Run started: sg_format_ablation_2026_07_24_03_14_26
[2026-07-24 03:14:26] Manifest written: C:\Users\hassa\OneDrive\Desktop\EmbodimentSemantic\vla_benchmarking\ablation_outputs\sg_format_ablation_2026_07_24_03_14_26\ablation_manifest.json
[2026-07-24 03:14:26] Formats: triplet_published, triplet_human, triplet_human_bar, triplet_human_shared_subject, natural_separate, natural_compact, natural_compact_current, natural_compact_no_label, natural_compact_context_first
[2026-07-24 03:14:26] Tasks: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
[2026-07-24 03:14:26] Episodes per task/format: 1
[2026-07-24 03:14:26] Estimated prompt rows per format: 10
[2026-07-24 03:41:59] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=241/10
[2026-07-24 03:42:59] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=241/10
[2026-07-24 03:43:09] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=251/10
[2026-07-24 03:44:09] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=251/10
[2026-07-24 03:44:14] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=256/10
[2026-07-24 03:44:19] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=261/10
[2026-07-24 03:45:20] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=261/10
[2026-07-24 03:45:25] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=271/10
[2026-07-24 03:46:25] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=271/10
[2026-07-24 03:46:35] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=280/10
[2026-07-24 03:46:50] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=281/10
[2026-07-24 03:47:50] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=281/10
[2026-07-24 03:47:55] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=286/10
[2026-07-24 03:48:01] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=291/10
[2026-07-24 03:49:01] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=291/10
[2026-07-24 03:49:06] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=299/10
[2026-07-24 03:49:11] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=301/10
[2026-07-24 03:50:11] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=301/10
[2026-07-24 03:50:16] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=311/10
[2026-07-24 03:51:17] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=311/10
[2026-07-24 03:51:22] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=321/10
[2026-07-24 03:52:22] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=321/10
[2026-07-24 03:52:27] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=325/10
[2026-07-24 03:52:32] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=331/10
[2026-07-24 03:53:32] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=331/10
[2026-07-24 03:53:37] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=337/10
[2026-07-24 03:53:42] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=341/10
[2026-07-24 03:54:43] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=345/10
[2026-07-24 03:54:48] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=351/10
[2026-07-24 03:55:48] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=351/10
[2026-07-24 03:55:53] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=356/10
[2026-07-24 03:55:58] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=361/10
[2026-07-24 03:56:59] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=361/10
[2026-07-24 03:57:04] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=371/10
[2026-07-24 03:58:04] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=371/10
[2026-07-24 03:58:09] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=377/10
[2026-07-24 03:58:14] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=381/10
[2026-07-24 03:59:14] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=381/10
[2026-07-24 03:59:19] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=391/10
[2026-07-24 04:00:20] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=391/10
[2026-07-24 04:00:25] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=393/10
[2026-07-24 04:00:30] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=401/10
[2026-07-24 04:01:30] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=401/10
[2026-07-24 04:01:35] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=411/10
[2026-07-24 04:02:35] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=411/10
[2026-07-24 04:02:45] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=421/10
[2026-07-24 04:03:46] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=421/10
[2026-07-24 04:03:51] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=425/10
[2026-07-24 04:03:56] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=431/10
[2026-07-24 04:04:56] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=431/10
[2026-07-24 04:05:01] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=441/10
[2026-07-24 04:06:01] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=441/10
[2026-07-24 04:06:06] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=445/10
[2026-07-24 04:06:11] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=451/10
[2026-07-24 04:07:12] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=451/10
[2026-07-24 04:07:17] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=461/10
[2026-07-24 04:08:17] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=461/10
[2026-07-24 04:08:22] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=471/10
[2026-07-24 04:09:22] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=471/10
[2026-07-24 04:09:32] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=481/10
[2026-07-24 04:10:33] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=482/10
[2026-07-24 04:10:38] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=491/10
[2026-07-24 04:11:38] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=493/10
[2026-07-24 04:11:43] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=501/10
[2026-07-24 04:12:43] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=502/10
[2026-07-24 04:12:48] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=511/10
[2026-07-24 04:13:49] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=511/10
[2026-07-24 04:13:54] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=521/10
[2026-07-24 04:14:54] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=521/10
[2026-07-24 04:14:59] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=528/10
[2026-07-24 04:15:04] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=531/10
[2026-07-24 04:16:04] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=531/10
[2026-07-24 04:16:09] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=541/10
[2026-07-24 04:17:10] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=541/10
[2026-07-24 04:17:20] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=551/10
[2026-07-24 04:18:20] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=551/10
[2026-07-24 04:18:25] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=555/10
[2026-07-24 04:18:30] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=560/10
[2026-07-24 04:18:45] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=561/10
[2026-07-24 04:19:45] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=561/10
[2026-07-24 04:19:51] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=571/10
[2026-07-24 04:20:51] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=571/10
[2026-07-24 04:20:56] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=578/10
[2026-07-24 04:21:01] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=581/10
[2026-07-24 04:22:01] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=582/10
[2026-07-24 04:22:06] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=591/10
[2026-07-24 04:23:07] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=591/10
[2026-07-24 04:23:12] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=592/10
[2026-07-24 04:23:17] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=601/10
[2026-07-24 04:24:17] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=601/10
[2026-07-24 04:24:22] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=611/10
[2026-07-24 04:25:22] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=611/10
[2026-07-24 04:25:28] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=620/10
[2026-07-24 04:25:33] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=621/10
[2026-07-24 04:26:33] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=631/10
[2026-07-24 04:27:33] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=631/10
[2026-07-24 04:27:38] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=641/10
[2026-07-24 04:28:38] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=641/10
[2026-07-24 04:28:43] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=651/10
[2026-07-24 04:29:44] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=651/10
[2026-07-24 04:29:49] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=661/10
[2026-07-24 04:30:49] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=661/10
[2026-07-24 04:30:54] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=671/10
[2026-07-24 04:31:54] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=671/10
[2026-07-24 04:32:04] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=681/10
[2026-07-24 04:33:05] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=681/10
[2026-07-24 04:33:10] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=690/10
[2026-07-24 04:33:15] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=691/10
[2026-07-24 04:34:15] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=691/10
[2026-07-24 04:34:20] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=701/10
[2026-07-24 04:35:21] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=701/10
[2026-07-24 04:35:31] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=711/10
[2026-07-24 04:36:31] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=711/10
[2026-07-24 04:36:36] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=712/10
[2026-07-24 04:36:41] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=721/10
[2026-07-24 04:37:41] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=721/10
[2026-07-24 04:37:46] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=731/10
[2026-07-24 04:38:47] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=731/10
[2026-07-24 04:38:57] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=741/10
[2026-07-24 04:39:57] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=741/10
[2026-07-24 04:40:02] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=748/10
[2026-07-24 04:40:07] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=751/10
[2026-07-24 04:41:07] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=751/10
[2026-07-24 04:41:12] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=761/10
[2026-07-24 04:42:13] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=761/10
[2026-07-24 04:42:18] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=769/10
[2026-07-24 04:42:23] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=771/10
[2026-07-24 04:43:23] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=771/10
[2026-07-24 04:43:28] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=781/10
[2026-07-24 04:44:29] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=781/10
[2026-07-24 04:44:34] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=791/10
[2026-07-24 04:45:34] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=791/10
[2026-07-24 04:45:44] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=801/10
[2026-07-24 04:46:44] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=801/10
[2026-07-24 04:46:49] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=805/10
[2026-07-24 04:46:54] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=811/10
[2026-07-24 04:47:55] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=811/10
[2026-07-24 04:48:00] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=821/10
[2026-07-24 04:49:00] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=821/10
[2026-07-24 04:49:10] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=831/10
[2026-07-24 04:50:10] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=831/10
[2026-07-24 04:50:15] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=838/10
[2026-07-24 04:50:20] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=840/10
[2026-07-24 04:50:30] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=841/10
[2026-07-24 04:51:31] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=841/10
[2026-07-24 04:51:36] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=845/10
[2026-07-24 04:51:41] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=851/10
[2026-07-24 04:52:41] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=855/10
[2026-07-24 04:52:46] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=861/10
[2026-07-24 04:53:47] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=866/10
[2026-07-24 04:53:52] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=871/10
[2026-07-24 04:54:52] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=881/10
[2026-07-24 04:55:52] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=881/10
[2026-07-24 04:55:57] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=888/10
[2026-07-24 04:56:02] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=891/10
[2026-07-24 04:57:03] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=894/10
[2026-07-24 04:57:08] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=901/10
[2026-07-24 04:58:08] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=901/10
[2026-07-24 04:58:13] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=911/10
[2026-07-24 04:59:13] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=911/10
[2026-07-24 04:59:19] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=915/10
[2026-07-24 04:59:24] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=921/10
[2026-07-24 05:00:24] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=921/10
[2026-07-24 05:00:29] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=930/10
[2026-07-24 05:00:34] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=931/10
[2026-07-24 05:01:35] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=931/10
[2026-07-24 05:01:40] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=936/10
[2026-07-24 05:01:45] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=941/10
[2026-07-24 05:02:45] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=941/10
[2026-07-24 05:02:50] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=951/10
[2026-07-24 05:03:50] PROGRESS format=triplet_published [1/9] format_est=100.0% overall_est=11.1% prompt_rows=951/10
